scenario,method,alarm_rate,detection_power,mean_latency,median_latency
null_poisson,mixture_poisson,0.006,,,
null_poisson,mixture_nb,0.0045,,,
null_poisson,shiryaev_roberts,0.1085,,,
null_poisson,fixed_window,0.589,,,
null_overdispersed,mixture_poisson,0.2385,,,
null_overdispersed,mixture_nb,0.0805,,,
null_overdispersed,shiryaev_roberts,0.392,,,
null_overdispersed,fixed_window,1.0,,,
alt_1p5x,mixture_poisson,0.0015,0.9895,7.42344618494189,7.0
alt_1p5x,mixture_nb,0.0005,0.987,7.901215805471125,7.0
alt_1p5x,shiryaev_roberts,0.0395,0.9605,0.6699635606454971,0.0
alt_1p5x,fixed_window,0.282,0.718,2.0759052924791086,2.0
alt_2p5x,mixture_poisson,0.0015,0.9985,1.612919379068603,2.0
alt_2p5x,mixture_nb,0.001,0.999,1.7687687687687688,2.0
alt_2p5x,shiryaev_roberts,0.0485,0.9515,0.0005254860746190226,0.0
alt_2p5x,fixed_window,0.287,0.713,1.040673211781206,1.0
alt_overdispersed_2x,mixture_poisson,0.7675,0.215,5.56046511627907,4.0
alt_overdispersed_2x,mixture_nb,0.032,0.5545,9.65644724977457,9.0
alt_overdispersed_2x,shiryaev_roberts,0.2315,0.75,3.6653333333333333,2.0
alt_overdispersed_2x,fixed_window,0.9335,0.0665,1.255639097744361,1.0
